#COPIER ID MEAN MIN MAX
C687 687 1.67 0 4
C688 688 1.00 0 2
C689 689 0.33 0 1
C690 690 1.00 0 2
C691 691 1.67 1 2
C692 692 0.67 0 2
C693 693 1.00 1 1
C694 694 1.00 0 2
C695 695 1.67 0 3
C696 696 1.00 0 2
C697 697 1.00 0 2
C698 698 1.00 1 1
C699 699 0.33 0 1
C700 700 2.67 1 4
C701 701 0.67 0 1
C702 702 0.67 0 1
C703 703 0.67 0 1
C704 704 0.33 0 1
C705 705 0.33 0 1
C706 706 0.67 0 2
C707 707 1.67 0 3
C708 708 1.00 1 1
C709 709 0.67 0 2
C710 710 2.33 2 3
C711 711 1.00 1 1
C712 712 0.33 0 1
C713 713 1.00 1 1
C714 714 1.67 1 2
C715 715 1.00 0 2
C716 716 0.67 0 1
C717 717 1.00 0 2
C718 718 0.67 0 2
C719 719 0.67 0 1
C720 720 0.67 0 1
C721 721 1.33 0 2
C722 722 1.00 0 2
C723 723 0.67 0 2
C724 724 0.67 0 2
C725 725 1.33 0 3
C726 726 0.00 0 0
C727 727 0.67 0 1
C728 728 1.67 1 3
C729 729 0.33 0 1
C730 730 1.67 0 3
C731 731 1.67 0 3
C732 732 1.00 0 2
C733 733 1.00 1 1
C734 734 1.00 0 2
C735 735 1.33 0 3
C736 736 2.33 1 4
C737 737 1.00 1 1
C738 738 3.00 1 4
C739 739 1.00 0 2
C740 740 2.00 0 4
C741 741 1.67 0 3
C742 742 1.67 1 3
C743 743 0.00 0 0
C744 744 0.67 0 2
C745 745 1.00 0 2
C746 746 0.33 0 1
C747 747 1.00 0 2
C748 748 0.00 0 0
C749 749 0.33 0 1
C750 750 1.33 0 3
C751 751 0.67 0 1
C752 752 0.00 0 0
C753 753 0.67 0 1
C754 754 1.00 0 2
C755 755 0.00 0 0
C756 756 1.33 1 2
C757 757 0.67 0 2
C758 758 0.33 0 1
C759 759 1.67 0 4
C760 760 1.33 0 3
C761 761 0.67 0 1
C762 762 1.33 0 3
C763 763 1.67 1 2
C764 764 1.00 0 2
C765 765 1.33 0 2
C766 766 0.00 0 0
C767 767 1.67 0 4
C768 768 1.67 0 4
C769 769 1.67 0 4
C770 770 0.67 0 1
C771 771 1.00 1 1
C772 772 0.00 0 0
C773 773 0.33 0 1
C774 774 0.33 0 1
C775 775 0.33 0 1
C776 776 0.67 0 1
C777 777 1.00 1 1
C778 778 1.00 0 2
C779 779 1.33 0 2
C780 780 1.33 0 3
C781 781 1.00 1 1
C782 782 0.67 0 2
C783 783 1.67 0 3
C784 784 1.33 0 3
C785 785 1.33 1 2
C786 786 1.00 1 1
C787 787 0.67 0 1
C788 788 1.33 1 2
C789 789 1.33 0 2
C790 790 1.67 0 4
C791 791 0.67 0 2
C792 792 1.33 1 2
C793 793 1.00 1 1
C794 794 1.67 0 4
C795 795 0.67 0 2
